comments,
"Dear Honda? Where is my car? HONDA HRV medium spec? my bank loan already been approved.I've already waited for two month, before raya celeberation, no, before my birthday, no.. if no response from you,  I will not even wanted to buy honda car again.","Alif Firdaus  Dear Honda? Where is my car? HONDA HRV medium spec? my bank loan already been approved.I've already waited for two month, before raya celeberation, no, before my birthday, no.. if no response from you,  I will not even wanted to buy honda car again.Yesterday at 02:22Remove"
Thank you for contacting us. We are with American Honda Motor Co. and deal mainly with Honda vehicles made for sale and use within the United States. Please try contacting http://www.honda.com.my/ or https://www.facebook.com/hondamalaysia/. We hope this helps. ^CB,"Honda  Thank you for contacting us. We are with American Honda Motor Co. and deal mainly with Honda vehicles made for sale and use within the United States. Please try contacting http://www.honda.com.my/ or https://www.facebook.com/hondamalaysia/. We hope this helps. ^CBThe Official Home of Honda MalaysiaWelcome to Honda Malaysia. Browse the latest Honda Models, Book Test Drives, Compare Vehicles & More. Logon To Honda Malaysia Today.honda.com.my13 hrsRemove"
"I bought a 2017 Honda Civic EX this April. I really like it. But just a few days ago, it malfunctioned in the middle of a  hi-way drive.  The engine died, check engine flashed, and the dash monitor showed a lot of crap saying everything has error.","Christian Pangan  I bought a 2017 Honda Civic EX this April. I really like it. But just a few days ago, it malfunctioned in the middle of a  hi-way drive.  The engine died, check engine flashed, and the dash monitor showed a lot of crap saying everything has error.1 · 28 July at 09:22Remove"
"Hello,Christian, we are sorry to hear that your vehicle is having issues. We would like to review your concern further. Please private message your name, address, phone #, VIN, mileage, the dealership name, and a copy of the repair order. Thank you. ^CB","Honda  Hello,Christian, we are sorry to hear that your vehicle is having issues. We would like to review your concern further. Please private message your name, address, phone #, VIN, mileage, the dealership name, and a copy of the repair order. Thank you. ^CB28 July at 12:29Remove"
"Dear mam / sir,I have tried my best to make them understand my concerned issuesTo vidhata honda Ludhiana but they understand the issue and commitment made by them ...See more","Manpreet Gujral  Dear mam / sir,I have tried my best to make them understand my concerned issuesTo vidhata honda Ludhiana but they understand the issue and commitment made by them ...See more6 July at 00:04Remove"
"Thank you for reaching out, Manpreet. We deal primarily with vehicles within the United States. To find the correct avenue of assistance please visit the following link http://world.honda.com/group/ ^DG","Honda  Thank you for reaching out, Manpreet. We deal primarily with vehicles within the United States. To find the correct avenue of assistance please visit the following link http://world.honda.com/group/ ^DGHonda World LinksHonda World Links - Visit Honda’s and Affliated Sites Worldwideworld.honda.com6 July at 07:26Remove"
Will be some software update to have apple car play in my hr-v?,Omar CA  Will be some software update to have apple car play in my hr-v?20 July at 21:20Remove
"Hello Omar, thank you for reaching out to us with your inquiry. Apple CarPlay is a feature that must be available from the factory. At this time, there are no plans to release a software update to bring this feature to non-compatible vehicles. Thank you. ^CB","Honda  Hello Omar, thank you for reaching out to us with your inquiry. Apple CarPlay is a feature that must be available from the factory. At this time, there are no plans to release a software update to bring this feature to non-compatible vehicles. Thank you. ^CB21 July at 08:23Remove"
Mental harassment we have to go through just 13 days after buying honda jazz. Pathetic reply from customer care. I have to open up my engine now and get parts replaced. I NEED MY CAR REPLACED.,વિવેક કડેચા · 0:00  Mental harassment we have to go through just 13 days after buying honda jazz. Pathetic reply from customer care. I have to open up my engine now and get parts replaced. I NEED MY CAR REPLACED.4 · 26 April at 11:48Remove
"We apologize for the new car purchase experience. We are with American Honda Motor Co., Inc. and deal mainly with Honda vehicles made for sale and use within the United States. Please try contacting https://www.hondacarindia.com/ or https://www.facebook.com/HondaCarIndia. We hope this helps. ^AD","Honda ·   We apologize for the new car purchase experience. We are with American Honda Motor Co., Inc. and deal mainly with Honda vehicles made for sale and use within the United States. Please try contacting https://www.hondacarindia.com/ or https://www.facebook.com/HondaCarIndia. We hope this helps. ^ADHonda Cars India: Hatchback, Sedan, MPV & SUV ManufacturerHonda Cars India Ltd (HCIL) is a subsidiary of Honda, a leading premium car manufacturer and exporter in India. Honda offers Sedan, Hatchback, MPV, SUV, and luxury car models.m.hondacarindia.com26 April at 12:22Remove"
"Don't go for Honda Cars, I bought Jazz before 10 days in India and it has an engine fault. Service centre said we have to replace Engine piston set, connecting rod set & Bearing set in 10 day old car. I asked for replacement of car, they denied. Pathet...See more","વિવેક કડેચા · 1:16  Don't go for Honda Cars, I bought Jazz before 10 days in India and it has an engine fault. Service centre said we have to replace Engine piston set, connecting rod set & Bearing set in 10 day old car. I asked for replacement of car, they denied. Pathet...See more2 · 20 April at 02:10Remove"
"Thank you for contacting us. We are with American Honda Motor Co., Inc. and deal mainly with Honda vehicles made for sale and use within the United States. Please try contacting https://www.hondacarindia.com/ or https://www.facebook.com/HondaCarIndia. We hope this helps. ^AD","Honda ·   Thank you for contacting us. We are with American Honda Motor Co., Inc. and deal mainly with Honda vehicles made for sale and use within the United States. Please try contacting https://www.hondacarindia.com/ or https://www.facebook.com/HondaCarIndia. We hope this helps. ^ADHonda Cars India: Hatchback, Sedan, MPV & SUV ManufacturerHonda Cars India Ltd (HCIL) is a subsidiary of Honda, a leading premium car manufacturer and exporter in India. Honda offers Sedan, Hatchback, MPV, SUV, and luxury car models.m.hondacarindia.com20 April at 09:13Remove"
I own a Honda ballade 1984! It moves like a plane!,Dinesh Gyaneshwar · 0:00  I own a Honda ballade 1984! It moves like a plane!3 · 12 April at 09:59Remove
Thank you for being a part of the Honda family. #HondaLove,Honda ·   Thank you for being a part of the Honda family. #HondaLove12 April at 11:13Remove
"Hello. I am from Turkey. I own a New civic sedan. Recently, in our country we have a problem about the our cars. Although we have reported, The authourities did not return to us. Hundreds of People have the same problem. Our problem is that: There is a dent(s) on the rear right and/or left window of our cars. I demand that the subject be resolved. Best regards...","Yaşar Şahinbaş · 7:26  Hello. I am from Turkey. I own a New civic sedan. Recently, in our country we have a problem about the our cars. Although we have reported, The authourities did not return to us. Hundreds of People have the same problem. Our problem is that: There is a dent(s) on the rear right and/or left window of our cars. I demand that the subject be resolved. Best regards...14 July at 10:52Remove"
Thank you for contacting us. We are with American Honda Motor Co. Inc. and deal mainly with Honda vehicles made for sale and use within the United States. Please try contacting  \https://www.facebook.com/HondaTR .  We hope this helps. ^CB,"Honda ·   Thank you for contacting us. We are with American Honda Motor Co. Inc. and deal mainly with Honda vehicles made for sale and use within the United States. Please try contacting  \https://www.facebook.com/HondaTR .  We hope this helps. ^CBHonda TürkiyeCars1,760,666 people like this14 July at 14:21Remove"
"HONDA!!! Look at my profile pic! Isn't that a great representation of one of your paint problems that you will do nothing about?? 4,000,000 plus Honda followers: Look what you are getting into!","Stephen Smith · 30:18  HONDA!!! Look at my profile pic! Isn't that a great representation of one of your paint problems that you will do nothing about?? 4,000,000 plus Honda followers: Look what you are getting into!2 · 12 April at 09:47Remove"
"Hello Stephen, we are sorry to hear that your vehicle is having paint issues. We would like to review your concern further. Please private message your name, address, phone #, VIN, mileage, the dealership name, and a copy of the repair order. Thank you. ^RB","Honda ·   Hello Stephen, we are sorry to hear that your vehicle is having paint issues. We would like to review your concern further. Please private message your name, address, phone #, VIN, mileage, the dealership name, and a copy of the repair order. Thank you. ^RB1 · 12 April at 13:27Remove"
"This is important. Yeah the style isn't the best currently, but it will get better. When you're buying a clarity, its for altruistic reasons","Michael Silvia · 49:13  This is important. Yeah the style isn't the best currently, but it will get better. When you're buying a clarity, its for altruistic reasons12 April at 08:34Remove"
Thank you for contacting us. We are with American Honda Motor Co. and deal mainly with Honda vehicles made for sale and use within the United States. Please try contacting http://www.honda.com.pk/index.html.  We hope this helps. ^RB,Honda  Thank you for contacting us. We are with American Honda Motor Co. and deal mainly with Honda vehicles made for sale and use within the United States. Please try contacting http://www.honda.com.pk/index.html.  We hope this helps. ^RBHonda Pakistan Website - ErrorHonda Atlas Cars (Pakistan) Limited -Visit the official Honda Pakistan web site and find information on all…honda.com.pk4 · 3 March at 10:18Remove
"I have a 2015 Honda Odyssey.  I lost one of the key fobs and now im totally confused if thr fobs have a key inside, a battery, how do you replace it without going to the dealer bevause i dont have the money.  Any info would be appreciated","Patricia Henderson  I have a 2015 Honda Odyssey.  I lost one of the key fobs and now im totally confused if thr fobs have a key inside, a battery, how do you replace it without going to the dealer bevause i dont have the money.  Any info would be appreciated3 · 10 April at 22:33Remove"
Good Morning Patricia and thank you for reaching out to us. Could you please clarify if you need to replace a key or just the battery in the key/remote? ^AD,Honda  Good Morning Patricia and thank you for reaching out to us. Could you please clarify if you need to replace a key or just the battery in the key/remote? ^AD11 April at 07:20Remove
Car goes for servicing next day the fuel pump is spoilt. My 2 year old honda city has run for 3500 km's. Is this a joke. Complaint id is 1-6339957063.From honda 121,Anurodh Sharma  Car goes for servicing next day the fuel pump is spoilt. My 2 year old honda city has run for 3500 km's. Is this a joke. Complaint id is 1-6339957063.From honda 1211 · 9 February at 08:52Remove
Thank you for reaching out to us. Can you please verify what country you are in? Thank you. ^RB,Honda  Thank you for reaching out to us. Can you please verify what country you are in? Thank you. ^RB9 February at 09:17Remove
